fid;left;top;right;bottom;car_count_average;Area_of_cell;mixed_use_area_per_cell;final_average;;;;;;;;;;;;;;;;
1;448459.27;5558604.107;449450.689;5557612.743;0;1000000;857100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;448459.27;5557612.743;449450.689;5556621.379;0;1000000;743700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;448459.27;5556621.379;449450.689;5555630.015;0;1000000;802100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;448459.27;5555630.015;449450.689;5554638.651;0;1000000;860000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;448459.27;5554638.651;449450.689;5553647.287;0;1000000;942500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;448459.27;5553647.287;449450.689;5552655.923;0;1000000;865400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;448459.27;5552655.923;449450.689;5551664.559;0;1000000;781800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;448459.27;5551664.559;449450.689;5550673.195;40650;1000000;847900;40650;13200;68100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;448459.27;5550673.195;449450.689;5549681.831;0;1000000;894000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;448459.27;5549681.831;449450.689;5548690.467;35250;1000000;910000;35250;5400;65100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;448459.27;5548690.467;449450.689;5547699.103;0;1000000;764000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;449450.689;5559595.47;450442.107;5558604.107;52750;1000000;966600;52750;30400;75100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;449450.689;5558604.107;450442.107;5557612.743;75300;1000000;783400;75300;75300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;449450.689;5557612.743;450442.107;5556621.379;0;1000000;949900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;449450.689;5556621.379;450442.107;5555630.015;0;1000000;865800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;449450.689;5555630.015;450442.107;5554638.651;37100;1000000;997200;37100;37100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;449450.689;5554638.651;450442.107;5553647.287;83000;1000000;892300;83000;121700;44300;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;449450.689;5553647.287;450442.107;5552655.923;0;1000000;756200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;449450.689;5552655.923;450442.107;5551664.559;0;1000000;817300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;449450.689;5551664.559;450442.107;5550673.195;0;1000000;700900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;449450.689;5550673.195;450442.107;5549681.831;0;1000000;823500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;449450.689;5549681.831;450442.107;5548690.467;0;1000000;985500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;450442.107;5558604.107;451433.5257;5557612.743;0;1000000;867700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;450442.107;5557612.743;451433.5257;5556621.379;11000;1000000;998500;11000;11000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;450442.107;5556621.379;451433.5257;5555630.015;90300;1000000;787500;90300;90300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;450442.107;5555630.015;451433.5257;5554638.651;38600;1000000;827000;38600;38600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;450442.107;5554638.651;451433.5257;5553647.287;25650;1000000;977500;25650;5300;46000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;450442.107;5553647.287;451433.5257;5552655.923;0;1000000;871000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;450442.107;5552655.923;451433.5257;5551664.559;32550;1000000;764400;32550;38600;26500;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;450442.107;5551664.559;451433.5257;5550673.195;31800;1000000;761900;31800;31800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;450442.107;5550673.195;451433.5257;5549681.831;60500;1000000;802900;60500;19000;102000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;450442.107;5549681.831;451433.5257;5548690.467;21000;1000000;783300;21000;15700;26300;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;450442.107;5548690.467;451433.5257;5547699.103;15700;1000000;903600;15700;15700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;451433.5257;5559595.47;452424.9442;5559595.47;0;1000000;727800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;451433.5257;5558604.107;452424.9442;5558604.107;2200;1000000;722900;2200;2200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;451433.5257;5557612.743;452424.9442;5557612.743;0;1000000;791900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;451433.5257;5556621.379;452424.9442;5556621.379;0;1000000;919900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;451433.5257;5555630.015;452424.9442;5555630.015;0;1000000;926700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
