id;Address;Easting;Northing;carpark_in_grid;Latitude;Longitude;no_of_parking_spots;charging_spots;;;
72;PARKOVIŠTĚ NA CHOBOTĚ;449631.667490994;5546193.51918197;14;50.0658867;14.2962247;270;27;;;
73;Hlídané parkoviště Galandova;449735.193715886;5546489.80060612;17;50.06856;14.2976322;92;9;;;
18;Zličín 1;449157.712135971;5544934.87064558;18;50.054527;14.28977;169;17;;;
19;Zličín 2;449234.011848336;5544812.38846749;18;50.053432;14.290852;74;7;;;
70;METROPOLE ZLIČÍN;449021.70381113;5544744.16594374;18;50.0528003;14.2878956;260;26;;;
71;Parkoviště Zličín Ringhofferova;449374.994616822;5544888.9773272;18;50.0541328;14.2928111;181;18;;;
74;Parkoviště Drahoňovského;449815.603031883;5546064.99514434;30;50.0647464;14.2988114;633;63;;;
68;Parkoviště Jeremiášova;451000.800464019;5543619.97745692;32;50.0428564;14.3156828;78;8;;;
69;Parkoviště Vackova;450851.902419224;5543805.27888981;32;50.0445106;14.3135797;57;6;;;
75;PARKOVIŠTĚ SKUTECKÉHO;450733.705175823;5546066.98832762;42;50.0648411;14.3116381;208;21;;;
66;Parkoviště Kettnerova;451466.590936223;5544054.1680765;45;50.0467994;14.3221325;95;10;;;
67;Parkoviště Trávníčkova;451266.603134924;5543960.39274946;45;50.0459397;14.3193514;36;4;;;
81;Zaparkujlevne,cz;450321.261234255;5548498.45137065;53;50.0866736;14.30556;88;9;;;
80;Parkoviště Vlastina;451022.799941744;5548922.9752399;68;50.0905497;14.3153114;63;6;;;
78;Parkoviště Břevnovský klášter;453969.071385585;5548117.99310185;69;50.0835458;14.3565936;74;7;;;
82;Parkoviště Ústřední vojenská nemocnice;454509.802618473;5548765.78850005;69;50.0894133;14.3640742;269;27;;;
65;HALOVÉ GARÁŹE BĚHOUNKOVA;452638.04671863;5544791.72217082;71;50.0535269;14.3384019;653;65;;;
9;Nové Butovice;453497.705440505;5544450.94729386;73;50.05053;14.350451;83;8;;;
12;Radotín;454370.039051925;5537344.61805062;87;49.986687;14.36348;131;13;;;
64;Parkoviště Petržílkova;453400.729014637;5544550.54129097;87;50.0514181;14.3490844;61;6;;;
6;Kotlářka;454060.97084402;5546453.10975208;96;50.06858;14.358078;480;48;;;
63;Parkoviště Aviatica;455224.157395659;5545099.44913834;104;50.0564947;14.3744889;464;46;;;
79;Parkoviště José Martího;452865.257976449;5549233.90224064;105;50.093495;14.3410283;180;18;;;
58;PARKOVIŠTĚ BARRANDOV STUDIOS;456464.780296709;5542243.44651401;120;50.0309014;14.3921436;218;22;;;
59;NADZEMNÍ GARÁŽE BARRANDOV;455916.510321545;5542880.97998393;126;50.0365947;14.3844156;248;25;;;
60;Parkoviště Wassermannova;454649.96153359;5542056.2967615;126;50.0290828;14.3668281;347;35;;;
61;Parkoviště Werichova;454656.00898605;5542286.59078639;126;50.0311544;14.3668853;79;8;;;
83;Garáže Dejvice,cz;456420.446168124;5550360.76796088;128;50.1039008;14.3906003;87;9;;;
84;Garáže Prašný most;456698.283171787;5549323.55965217;136;50.0945931;14.3946028;381;38;;;
62;RADLICKÁ PARKING;456407.635205759;5545355.82306738;137;50.0588883;14.3909917;255;26;;;
86;GARÁŽE DEJVICKÁ;456295.28077682;5549993.18644646;137;50.1005858;14.3888922;389;39;;;
1;Braník;457492.952024381;5541977.51086112;141;50.028584;14.406528;433;43;;;
76;Parking Stroupežnického;457316.828712532;5546532.19447573;145;50.0695339;14.4035617;468;47;;;
25;Kaufland Lhotecká 2109/2d, 14300 Modřany;458366.548773871;5540301.54131974;160;50.0135728;14.4189061;291;29;;;
77;ZLATÝ ANDĚL;457332.882591874;5546621.14221349;160;50.070335;14.4037761;333;33;;;
26;HALOVÉ GARÁŽE JORDANA JOVKOVA;458424.946441508;5539583.3866371;165;50.0071181;14.4197989;119;12;;;
4;Holešovice;460047.14963672;5550934.75315022;166;50.109318;14.441252;163;16;;;
49;Parkoviště Hradební;459009.1974586;5549124.17410626;173;50.0929639;14.4269311;323;32;;;
85;PARKINGCENTRUM - Dejvice (Hradčanská);457117.609817859;5549638.31009882;173;50.0974542;14.4004297;295;30;;;
87;Podzemní parkoviště Letná;458263.397202255;5549758.2732288;173;50.0986147;14.4164358;143;14;;;
50;Podzemní parkoviště Rudolfinum;458140.439054093;5548769.46922651;174;50.0897133;14.414825;315;32;;;
