id;name;latitude;longitude;chg_in_grid;type_of_charger;
71;PRE Avion Shopping Park Praha Zličín;50.051236;14.297225;20;16A 230V, Typ 2;
72;E.ON - Globus Praha Zličín;50.052295;14.295506;20;CHAdeMO, CCS, Typ 2;
80;E.ON - OC Šestka;50.092526;14.290763;27;16A 230V, Typ 2;
74;E.ON - MOL Praha Drnovská;50.079096;14.309135;42;16A 230V, Typ 2;
70;PRE Praha 5-Stodůlky;50.055892;14.311001;45;16A 230V, Typ 2;
69;PRE KD Mlejn (Stodůlky);50.049372;14.317364;46;16A 230V, Typ 2;
79;ČEZ Mc Donald's - Evropská;50.093073;14.322943;55;2x Mennekes Type2;
68;PRE point OC Lužiny;50.043794;14.331536;62;16A 230V, Typ 2;
64;Veolia - OC Bucharova;50.055211;14.341443;76;Typ 2;
65;PRE ÚMČ Praha 13 (Stodůlky);50.050984;14.34425;76;CHAdeMO, CCS, Typ 2;
73;ČEZ OC Kaufland - Vypich;50.076979;14.341004;77;2x Mennekes 1x 16A 230V;
10;ČEZ MČ Praha 16;49.984993;14.36399;84;CHAdeMO, CCS, Typ 2;
11;Praha ČEZ MČ Praha 16;49.983436;14.358891;84;CHAdeMO, CCS, Typ 2;
66;Praha Aspira Business Centre;50.0524;14.3516;93;2x Mennekes Typ 2;
67;Praha Bucharova;50.0498;14.3525;93;16A 230V, Typ 2;
12;MOL Praha K Barrandovu;50.030404;14.380962;114;CHAdeMO, CCS, Typ 2;
13;Dobijeci stanice LIDL;50.030404;14.380962;114;16A 230V, Typ 2;
9;VanCo.cz;50.014992;14.40359;135;CHAdeMO, CCS, Typ 2;
81;PRE Podbabská;50.115042;14.39305;143;CHAdeMO, CCS, Typ 2;
75;Praha Hotel Julian;50.077704;14.405208;148;16A 230V, 16A 400V, 32A 400V, Typ 2;
76;PRE ÚMČ Praha 5 (Smíchov);50.07342;14.403565;148;16A 230V, Typ 2;
77;Praha ČEZ OC Nový Smíchov I.;50.072986;14.401142;148;32A 400V, Typ 2;
78;Praha ČEZ OC Nový Smíchov II.;50.072877;14.401142;148;CHAdeMO, CCS, Typ 2;
63;PRE Superloft (Křížová);50.051655;14.407023;150;32A 400V, CHAdeMO, CCS, Typ 2;
61;Praha ČEZ Národní divadlo;50.080981;14.414001;166;CHAdeMO, CCS, Typ 2;
