Grid ID;No. of charging stations in grid;No. of car parks in grid;pc;diz
1;0;0;0;0
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;40650
9;0;0;0;0
10;0;0;0;35250
11;0;0;0;0
12;0;0;0;0
13;0;0;0;52750
14;0;1;27;75300
15;0;0;0;0
16;0;0;0;0
17;0;1;9;37100
18;2;4;68,5;83000
19;0;0;0;0
20;0;0;0;0
21;0;0;0;0
22;0;0;0;0
23;0;0;0;0
24;0;0;0;0
25;1;0;0;11000
26;0;0;0;90300
27;0;0;0;38600
28;0;0;0;25650
29;0;0;0;0
30;0;1;63,5;32550
31;0;0;0;31800
32;0;2;13,5;60500
33;0;0;0;21000
34;0;0;0;15700
35;0;0;0;0
36;0;0;0;2200
37;0;0;0;0
38;0;0;0;0
39;0;0;0;0
40;1;0;0;35600
41;1;0;0;20500
42;1;1;21;59900
43;0;0;0;0
44;0;0;13;0
45;0;2;0;22950
46;0;0;0;0
47;0;0;0;0
48;0;0;0;0
49;0;0;0;0
50;0;0;0;0
51;0;0;0;0
52;0;0;0;0
53;1;1;9;30450
54;0;0;0;0
55;0;0;0;60400
56;0;0;0;39600
57;0;0;0;7700
58;0;0;0;32400
59;1;0;0;32700
60;0;0;0;0
61;0;0;0;43400
62;0;0;0;40600
63;0;0;0;32000
64;0;0;0;83000
65;0;0;0;18000
66;0;0;0;0
67;0;0;0;0
68;0;1;6,5;36300
69;0;2;34,5;18100
70;2;0;0;27933,33333
71;0;1;65,5;26300
72;0;0;0;0
73;0;1;8,5;10250
74;0;0;0;0
75;0;0;0;0
76;0;0;0;44300
77;0;0;0;0
78;0;0;0;0
79;0;0;0;0
80;2;0;0;10700
81;0;0;0;0
82;0;0;0;4500
83;0;0;0;33600
84;0;0;0;32500
85;0;0;0;30733,33333
86;0;0;0;0
87;2;2;19;26800
88;0;0;0;0
89;0;0;0;0
90;0;0;0;45400
91;0;0;0;0
92;0;0;0;0
93;0;0;0;0
94;0;0;0;0
95;0;0;0;0
96;0;1;48;15000
97;0;0;0;0
