fid;left;top;right;bottom;left;top;right;bottom;Final count;Final average;;;;;;;;;;;;;;;;
1;755000;1038000;754000;1039000;448459,27;5558604,107;449450,689;5557612,743;0;0;0;;;;;;;;;;;;;;;
2;755000;1039000;754000;1040000;448459,27;5557612,743;449450,689;5556621,379;0;0;0;;;;;;;;;;;;;;;
3;755000;1040000;754000;1041000;448459,27;5556621,379;449450,689;5555630,015;0;0;0;;;;;;;;;;;;;;;
4;755000;1041000;754000;1042000;448459,27;5555630,015;449450,689;5554638,651;0;0;0;;;;;;;;;;;;;;;
5;755000;1042000;754000;1043000;448459,27;5554638,651;449450,689;5553647,287;0;0;0;;;;;;;;;;;;;;;
6;755000;1043000;754000;1044000;448459,27;5553647,287;449450,689;5552655,923;0;0;0;;;;;;;;;;;;;;;
7;755000;1044000;754000;1045000;448459,27;5552655,923;449450,689;5551664,559;0;0;0;;;;;;;;;;;;;;;
8;755000;1045000;754000;1046000;448459,27;5551664,559;449450,689;5550673,195;81300;40650;13200;68100;;;;;;;;;;;;;;
9;755000;1046000;754000;1047000;448459,27;5550673,195;449450,689;5549681,831;0;0;0;;;;;;;;;;;;;;;
10;755000;1047000;754000;1048000;448459,27;5549681,831;449450,689;5548690,467;70500;35250;5400;65100;;;;;;;;;;;;;;
11;755000;1048000;754000;1049000;448459,27;5548690,467;449450,689;5547699,103;0;0;0;;;;;;;;;;;;;;;
12;;2;;;;;;;0;0;0;;;;;;;;;;;;;;;
13;754000;1037000;753000;1038000;449450,689;5559595,47;450442,107;5558604,107;105500;52750;30 400;75 100;;;;;;;;;;;;;;
14;754000;1038000;753000;1039000;449450,689;5558604,107;450442,107;5557612,743;75300;75300;75 300;;;;;;;;;;;;;;;
15;754000;1039000;753000;1040000;449450,689;5557612,743;450442,107;5556621,379;0;0;0;;;;;;;;;;;;;;;
16;754000;1040000;753000;1041000;449450,689;5556621,379;450442,107;5555630,015;0;0;0;;;;;;;;;;;;;;;
17;754000;1041000;753000;1042000;449450,689;5555630,015;450442,107;5554638,651;37100;37100;37 100;;;;;;;;;;;;;;;
18;754000;1042000;753000;1043000;449450,689;5554638,651;450442,107;5553647,287;166000;83000;121 700;44 300;;;;;;;;;;;;;;
19;754000;1043000;753000;1044000;449450,689;5553647,287;450442,107;5552655,923;0;0;0;;;;;;;;;;;;;;;
20;754000;1044000;753000;1045000;449450,689;5552655,923;450442,107;5551664,559;0;0;0;;;;;;;;;;;;;;;
21;754000;1045000;753000;1046000;449450,689;5551664,559;450442,107;5550673,195;0;0;0;;;;;;;;;;;;;;;
22;754000;1046000;753000;1047000;449450,689;5550673,195;450442,107;5549681,831;0;0;0;;;;;;;;;;;;;;;
23;754000;1047000;753000;1048000;449450,689;5549681,831;450442,107;5548690,467;0;0;0;;;;;;;;;;;;;;;
24;;3;;;;;;;0;0;0;;;;;;;;;;;;;;;
25;753000;1038000;752000;1039000;450442,107;5558604,107;451433,5257;5557612,743;0;0;0;;;;;;;;;;;;;;;
26;753000;1039000;752000;1040000;450442,107;5557612,743;451433,5257;5556621,379;11000;11000;11 000;;;;;;;;;;;;;;;
27;753000;1040000;752000;1041000;450442,107;5556621,379;451433,5257;5555630,015;90300;90300;90 300;;;;;;;;;;;;;;;
28;753000;1041000;752000;1042000;450442,107;5555630,015;451433,5257;5554638,651;38600;38600;38 600;;;;;;;;;;;;;;;
29;753000;1042000;752000;1043000;450442,107;5554638,651;451433,5257;5553647,287;51300;25650;5 300;46 000;;;;;;;;;;;;;;
30;753000;1043000;752000;1044000;450442,107;5553647,287;451433,5257;5552655,923;0;0;0;;;;;;;;;;;;;;;
31;753000;1044000;752000;1045000;450442,107;5552655,923;451433,5257;5551664,559;65100;32550;38 600;26 500;;;;;;;;;;;;;;
32;753000;1045000;752000;1046000;450442,107;5551664,559;451433,5257;5550673,195;31800;31800;31 800;;;;;;;;;;;;;;;
33;753000;1046000;752000;1047000;450442,107;5550673,195;451433,5257;5549681,831;121000;60500;19 000;102 000;;;;;;;;;;;;;;
34;753000;1047000;752000;1048000;450442,107;5549681,831;451433,5257;5548690,467;42000;21000;15 700;26 300;;;;;;;;;;;;;;
35;753000;1048000;752000;1049000;450442,107;5548690,467;451433,5257;5547699,103;15700;15700;15 700;;;;;;;;;;;;;;;
36;;4;;;;;;;0;0;0;;;;;;;;;;;;;;;
37;752000;1037000;751000;1038000;451433,5257;5559595,47;452424,9442;5559595,47;0;0;0;;;;;;;;;;;;;;;
38;752000;1038000;751000;1039000;451433,5257;5558604,107;452424,9442;5558604,107;2200;2200;2 200;;;;;;;;;;;;;;;
39;752000;1039000;751000;1040000;451433,5257;5557612,743;452424,9442;5557612,743;0;0;0;;;;;;;;;;;;;;;
40;752000;1040000;751000;1041000;451433,5257;5556621,379;452424,9442;5556621,379;0;0;0;;;;;;;;;;;;;;;
41;752000;1041000;751000;1042000;451433,5257;5555630,015;452424,9442;5555630,015;0;0;0;;;;;;;;;;;;;;;
42;752000;1042000;751000;1043000;451433,5257;5554638,651;452424,9442;5554638,651;35600;35600;35 600;;;;;;;;;;;;;;;
43;752000;1043000;751000;1044000;451433,5257;5553647,287;452424,9442;5553647,287;41000;20500;28 100;12 900;;;;;;;;;;;;;;
44;752000;1044000;751000;1045000;451433,5257;5552655,923;452424,9442;5552655,923;59900;59900;59 900;;;;;;;;;;;;;;;
45;752000;1045000;751000;1046000;451433,5257;5551664,559;452424,9442;5551664,559;0;0;0;;;;;;;;;;;;;;;
46;752000;1046000;751000;1047000;451433,5257;5550673,195;452424,9442;5550673,195;0;0;0;;;;;;;;;;;;;;;
47;752000;1047000;751000;1048000;451433,5257;5549681,831;452424,9442;5549681,831;45900;22950;22 600;23 300;;;;;;;;;;;;;;
48;752000;1048000;751000;1049000;451433,5257;5548690,467;452424,9442;5548690,467;0;0;0;;;;;;;;;;;;;;;
49;752000;1049000;751000;1050000;451433,5257;5547699,103;452424,9442;5547699,103;0;0;0;;;;;;;;;;;;;;;
50;752000;1050000;751000;1051000;451433,5257;5546707,739;452424,9442;5546707,739;0;0;0;;;;;;;;;;;;;;;
51;752000;1051000;751000;1052000;451433,5257;5545716,375;452424,9442;5545716,375;0;0;0;;;;;;;;;;;;;;;
