Prague -traffic intensity, year 2021, working days, 0-24 h;;;;;;;
Junctions in Prague = 703 junctions;;;;;;;
;;;;;;;
Junction number;Name of the junction;;ID;Cars;Trucks/Buses (no public transport);Location coordinates;
1001;KLÁROV;VALDŠTEJNSKÁ;1;18 500;400;50.0916422N;14.4095594E
1002;KLÁROV;NÁB.E.BENEŠE;2;21 900;500;50.0912808N;14.4098222E
1003;KLÁROV;LETENSKÁ;3;12 800;300;50.0900678N;14.4100528E
1004;MALOSTRAN.N.;LETENSKÁ;4;11 500;200;50.0885153N;14.4046347E
1005;MALOSTRAN.N.;KARMELITSKÁ;5;11 500;200;50.0876928N;14.4038944E
1006;KARMELITSKÁ;HELLICHOVA;6;10 300;200;50.0844592N;14.4042217E
1007;ÚJEZD;VÍTĚZNÁ;7;14 500;300;50.0811839N;14.4045703E
1008;VÍTĚZNÁ;ZBOROVSKÁ;8;10 700;200;50.0812353N;14.4069361E
1009;VÍTĚZNÁ;JANÁČK.NÁB.;9;14 200;200;50.0812697N;14.4079500E
1010;ČECHŮV MOST;NA FRANTIŠKU;10;25 500;600;50.0921308N;14.4176756E
1011;PAŘÍŽSKÁ;17.LISTOPADU;11;9 600;200;50.0916008N;14.4180297E
1012;KŘIŽOVNICKÁ;KAPROVA;12;20 500;500;50.0887031N;14.4155942E
1013;SMETAN.NÁBŘ.;DIVADELNÍ;13;19 000;300;50.0835056N;14.4133306E
1014;NÁR.DIVADLO;;14;16 000;200;50.0814264N;14.4130300E
1015;MASARYK.NÁB.;DIVADELNÍ;15;16 500;400;50.0797467N;14.4139206E
1016;MASARYK.NÁB.;MYSLÍKOVA;16;19 900;400;50.0774056N;14.4143819E
1021;PRAŠNÁ BRÁNA;;17;5 600;100;50.0872986N;14.4275783E
1023;REVOLUČNÍ;KRÁLODVORSKÁ;18;8 000;100;50.0891781N;14.4282758E
1027;REVOLUČNÍ;DLOUHÁ;19;10 000;100;50.0907817N;14.4277822E
1028;REVOLUČNÍ;ŘÁSNOVKA;20;26 400;700;50.0926542N;14.4273317E
1029;NA FRANTIŠKU;KLÁŠTERSKÁ;21;21 200;400;50.0930533N;14.4250036E
1030;NÁB.L.SVOB.;NOVÉ MLÝNY;22;34 200;900;50.0932597N;14.4282436E
1035;JINDŘIŠSKÁ;PANSKÁ;23;5 100;100;50.0837397N;14.4281147E
1036;SENOVÁŽNÉ N.;;24;7 500;200;50.0860319N;14.4318483E
1037;HAVLÍČKOVA;HYBERNSKÁ;25;11 700;400;50.0872642N;14.4323956E
1038;HAVLÍČKOVA;NA FLORENCI;26;4 600;200;50.0884964N;14.4324600E
1041;KŘIŽÍKOVA;NA FLORENCI;27;5 100;300;50.0895633N;14.4372881E
1042;KLIMENTSKÁ;STÁRKOVA;28;17 700;300;50.0925714N;14.4357644E
1043;HLÁVKŮV MOST;KLIMENTSKÁ;29;93 700;2 400;50.0926403N;14.4368481E
1044;KARLOVO N.;ŽITNÁ;30;22 900;400;50.0775294N;14.4212378E
1045;ŽITNÁ;ŠTĚPÁNSKÁ;31;30 300;600;50.0773231N;14.4247461E
1046;HYBERNSKÁ;SENOVÁŽNÁ;32;7 600;200;50.0872022N;14.4289625E
1047;MEZIBRANSKÁ;ŽITNÁ;33;59 700;1 400;50.0771853N;14.4292736E
1048;LEGEROVA;ANGLICKÁ;34;55 900;1 300;50.0771372N;14.4304322E
1049;VÁCLAVSKÉ N.;ŠTĚPÁNSKÁ;35;7 900;200;50.0813919N;14.4268917E
1050;VÁCLAVSKÉ N.;OPLETALOVA;36;18 500;300;50.0807861N;14.4289089E
1051;OPLETALOVA;POLIT.VĚZŇŮ;37;13 700;400;50.0819083N;14.4307006E
1052;WILSONOVA;POLIT.VĚZŇŮ;38;45 900;1 400;50.0808894N;14.4324814E
1053;OPLETALOVA;BOLZANOVA;39;12 900;200;50.0861767N;14.4347561E
1054;HYBERNSKÁ;OPLETALOVA;40;18 500;300;50.0872022N;14.4354319E
1055;BULHAR;;41;103 800;2 500;50.0866586N;14.4371269E
1056;MUZEUM;;42;55 700;1 400;50.0797328N;14.4305933E
1057;VINOHRADSKÁ;LEGEROVA;43;51 200;1 300;50.0792303N;14.4327606E
1058;CHOTKOVA;BADENIHO;44;24 000;500;50.0950286N;14.4091892E
1059;MAR.HRADBY;U PRAŠ.MOSTU;45;15 100;400;50.0932322N;14.3983639E
1060;JELENÍ;U BRUSNICE;46;19 100;400;50.0930050N;14.3921947E
1061;KEPLEROVA;POHOŘELEC;47;11 800;200;50.0877806N;14.3883000E
1063;WILSONOVA;LEGEROVA;48;82 400;2 300;50.0814608N;14.4336617E
1064;NÁB.L.SVOB.;KLIMENTSKÁ;49;40 400;1 100;50.0923958N;14.4332433E
1065;17.LISTOPADU;NA REJDIŠTI;50;17 000;400;50.0902761N;14.4161258E
1066;CHOTKOVA;U BRUS.KAS.;51;21 000;400;50.0925581N;14.4092756E
1067;NÁB.E.BENEŠE;U BRUS.KAS.;52;21 700;500;50.0922069N;14.4113031E
1068;MYSLÍKOVA;ODBORŮ;53;9 200;200;50.0779292N;14.4179336E
1070;ŠTĚPÁNSKÁ;V JÁMĚ;54;5 400;100;50.0797125N;14.4258836E
1146;SENOVÁŽNÉ N.;SENOVÁŽNÁ;55;6 600;100;50.0857708N;14.4293492E
2001;JIRÁSKOVO N.;;56;49 200;1 000;50.0757497N;14.4138894E
2002;KARLOVO N.;NA MORÁNI;57;11 500;200;50.0738469N;14.4184242E
2003;KARLOVO N.;RESSLOVA;58;36 300;800;50.0759022N;14.4190572E
2004;KARLOVO N.;JEČNÁ;59;17 000;400;50.0757025N;14.4206772E
2005;JEČNÁ;ŠTĚPÁNSKÁ;60;29 300;600;50.0756475N;14.4240889E
2006;NÁM.I.P.PAV.;SOKOLSKÁ;61;55 900;1 400;50.0754617N;14.4290456E
2007;NÁM.I.P.PAV.;LEGEROVA;62;44 700;1 100;50.0754753N;14.4301831E
2008;JUGOSLÁVSKÁ;BĚLEHRADSKÁ;63;8 100;200;50.0754064N;14.4321786E
2009;SOKOLSKÁ;RUMUNSKÁ;64;43 100;1 000;50.0735956N;14.4292067E
2010;LEGEROVA;RUMUNSKÁ;65;43 100;900;50.0737264N;14.4303653E
2011;SOKOLSKÁ;NUSEL.MOST;66;67 600;1 700;50.0694019N;14.4295822E
2012;BĚLEHRADSKÁ;RUMUNSKÁ;67;20 900;400;50.0741050N;14.4328114E
2013;ANGLICKÁ;BĚLEHRADSKÁ;68;13 900;200;50.0770383N;14.4316528E
2014;NÁMĚSTÍ MÍRU;ANGLICKÁ;69;19 100;300;50.0758953N;14.4350325E
2015;NÁMĚSTÍ MÍRU;JUGOSLÁVSKÁ;70;9 500;200;50.0754272N;14.4351503E
2016;NÁMĚSTÍ MÍRU;RUMUNSKÁ;71;18 800;300;50.0745044N;14.4355367E
2017;NÁMĚSTÍ MÍRU;FRANCOUZSKÁ;72;20 300;300;50.0749175N;14.4373714E
2018;KORUNNÍ;BLANICKÁ;73;7 400;100;50.0753444N;14.4390772E
2019;NÁMĚSTÍ MÍRU;SLEZSKÁ;74;13 700;200;50.0758472N;14.4376825E
2020;SLEZSKÁ;BUDEČSKÁ;75;7 100;100;50.0762947N;14.4419525E
2021;SLEZSKÁ;ŠUMAVSKÁ;76;5 000;100;50.0762672N;14.4439050E
2022;SLEZSKÁ;U VODÁRNY;77;4 100;100;50.0763153N;14.4490550E
2023;VINOHRADSKÁ;ITALSKÁ;78;21 700;700;50.0780917N;14.4362556E
2024;VINOHRADSKÁ;BUDEČSKÁ;79;15 600;300;50.0770522N;14.4420275E
2025;VINOHRADSKÁ;ŠUMAVSKÁ;80;18 100;300;50.0769969N;14.4438731E
2026;VINOHRADSKÁ;U VODÁRNY;81;13 700;300;50.0771692N;14.4490550E
2028;KORUNNÍ;U VODÁRNY;82;8 300;200;50.0754064N;14.4490978E
