fid;UPRN;Site Name;Address;Easting;Northing;Ward;Lease Information;Site Function;Sub Function;Function Detail
1;10093427554;;;457492.952024381;5541977.51086112;;;;;
2;10091898029;;;471197.337996342;5547692.07098833;;;;;
3;10094307638;;;465454.355021666;5547236.53468305;;;;;
4;10095154804;;;460047.14963672;5550934.75315022;;;;;
5;10093791461;;;459102.275571674;5545535.54161774;;;;;
6;10092601110;;;454060.97084402;5546453.10975208;;;;;
7;10094222547;;;465313.354337693;5552660.31969861;;;;;
8;10093055115;;;462283.578708204;5552790.73061321;;;;;
9;10095413478;;;453497.705440505;5544450.94729386;;;;;
10;10093663803;;;464687.919649554;5541671.94001957;;;;;
11;10093499465;;;461772.616255181;5539112.24537503;;;;;
12;10094432554;;;454370.039051925;5537344.61805062;;;;;
13;10093941700;;;468694.510305178;5550601.52219717;;;;;
14;10095086826;;;464751.246399187;5546487.81178287;;;;;
15;10094993181;;;465068.515550549;5546545.10509884;;;;;
16;10094036278;;;459771.659891636;5551621.9873957;;;;;
17;10091232017;;;463618.509572327;5542320.43961619;;;;;
18;10094922823;;;449157.712135971;5544934.87064558;;;;;
19;10093301164;;;449234.011848336;5544812.38846749;;;;;
20;10091187433;;;470168.270901531;5551012.82643911;;;;;
21;10092267065;;;459323.761131338;5547757.68086526;;;;;
22;10094691375;;;459523.954908487;5548068.8317805;;;;;
23;10091161584;;;461736.404974173;5539085.32907293;;;;;
24;10095218527;;;459322.997759108;5541802.58125184;;;;;
25;10093642934;;;458366.548773871;5540301.54131974;;;;;
26;10094022873;;;458424.946441508;5539583.3866371;;;;;
27;10093000041;;;464600.60379421;5542347.20192171;;;;;
28;10093221658;;;464767.033862565;5542949.42865625;;;;;
29;10093544445;;;460997.623855616;5544021.31180706;;;;;
30;10093443986;;;460906.004356881;5544196.7385574;;;;;
31;10091805686;;;459672.640560736;5544472.77222678;;;;;
32;10093714950;;;459283.507970982;5545011.48251559;;;;;
33;10093406064;;;465934.988611361;5544668.98300732;;;;;
34;10091403510;;;461987.057078869;5546271.75832215;;;;;
35;10093223255;;;464782.80960274;5548041.38614773;;;;;
36;10094292390;;;462089.783839568;5547995.63141983;;;;;
37;10092667117;;;461914.293722112;5548059.82434659;;;;;
38;10092613460;;;462192.445522765;5548405.10980379;;;;;
39;10093302353;;;461157.151048627;5547142.07625063;;;;;
40;10092457230;;;461409.746462885;5547596.28560699;;;;;
41;10094216979;;;461309.243720001;5547555.68244357;;;;;
42;10091508192;;;459323.049166156;5547725.24057358;;;;;
43;10092367225;;;460779.499017203;5547711.23028153;;;;;
44;10092031739;;;461028.563082184;5549147.75658197;;;;;
45;10093967957;;;459652.744068146;5548649.49018735;;;;;
46;10094440529;;;459436.108533706;5547786.73757031;;;;;
47;10093428549;;;459294.484385174;5548601.3927839;;;;;
48;10092782307;;;459061.437231159;5548676.0038557;;;;;
49;10092773967;;;459009.1974586;5549124.17410626;;;;;
50;10094806396;;;458140.439054093;5548769.46922651;;;;;
51;10093318426;;;458105.875057641;5547744.06040186;;;;;
52;10094401295;;;463525.248247944;5550275.30455844;;;;;
53;10093806012;;;464323.231286554;5550882.79801426;;;;;
54;10091462238;;;470265.247983829;5550751.39017784;;;;;
55;10095537865;;;460532.435880833;5551586.49792372;;;;;
56;10095614899;;;458354.910925462;5552994.68407567;;;;;
57;10093312534;;;459533.403997243;5554799.79085674;;;;;
58;10091341244;;;456464.780296709;5542243.44651401;;;;;
59;10094307732;;;455916.510321545;5542880.97998393;;;;;
60;10092350970;;;454649.96153359;5542056.2967615;;;;;
61;10091856441;;;454656.00898605;5542286.59078639;;;;;
62;10094173671;;;456407.635205759;5545355.82306738;;;;;
63;10091771556;;;455224.157395659;5545099.44913834;;;;;
64;10093319377;;;453400.729014637;5544550.54129097;;;;;
65;10095399425;;;452638.04671863;5544791.72217082;;;;;
66;10092961436;;;451466.590936223;5544054.1680765;;;;;
67;10091947149;;;451266.603134924;5543960.39274946;;;;;
68;10095397097;;;451000.800464019;5543619.97745692;;;;;
69;10095515695;;;450851.902419224;5543805.27888981;;;;;
70;10093408200;;;449021.70381113;5544744.16594374;;;;;
71;10093710090;;;449374.994616822;5544888.9773272;;;;;
72;10091965084;;;449631.667490994;5546193.51918197;;;;;
73;10093683901;;;449735.193715886;5546489.80060612;;;;;
74;10093562670;;;449815.603031883;5546064.99514434;;;;;
75;10094537636;;;450733.705175823;5546066.98832762;;;;;
76;10092033773;;;457316.828712532;5546532.19447573;;;;;
77;10093623421;;;457332.882591874;5546621.14221349;;;;;
78;10092838268;;;453969.071385585;5548117.99310185;;;;;
79;10092794471;;;452865.257976449;5549233.90224064;;;;;
80;10091166201;;;451022.799941744;5548922.9752399;;;;;
81;10091574371;;;450321.261234255;5548498.45137065;;;;;
82;10091472317;;;454509.802618473;5548765.78850005;;;;;
83;10095371628;;;456420.446168124;5550360.76796088;;;;;
84;10094659322;;;456698.283171787;5549323.55965217;;;;;
85;10091428623;;;457117.609817859;5549638.31009882;;;;;
86;10094378050;;;456295.28077682;5549993.18644646;;;;;
87;10092112355;;;458263.397202255;5549758.2732288;;;;;
88;10092029339;;;459158.48910026;5550045.17911121;;;;;
89;10094667086;;;459781.023213492;5550186.18303551;;;;;
90;10093070704;;;460292.654205185;5549961.95031284;;;;;
